id,name_ru,name_tr,date,link,length,id_l,id_d
MGL001,"Ита, дочь~Мордехая","Ita, daughter~of~Mordechai",20.12.1903,sfira.ru/t/MGL001,1,MGL,001
MGL003,"Песе, дочь~Хаима","Pese, daughter~of~Chaim",19.11.1902,sfira.ru/t/MGL003,1,MGL,003
MGL005,"Мирьям, дочь~Исраэля","Miryam, daughter~of~Israel",31.12.1899,sfira.ru/t/MGL005,1,MGL,005
MGL007,"Маше, дочь~Йерухама","Mashe, daughter~of~Yerucham",1892/1893,sfira.ru/t/MGL007,1,MGL,007
MGL008,"Гинеше, дочь~Цви","Gineshe, daughter~of~Tzvi",09.09.1884,sfira.ru/t/MGL008,1,MGL,008
MGL009,"Лея, дочь~Зелига","Lea, daughter~of~Zelig",18.12.1888,sfira.ru/t/MGL009,1,MGL,009
MGL012,"Масе, дочь~Авраама Шмуэля","Mase, daughter~of~Avraham Shmuel",29.01.1883,sfira.ru/t/MGL012,1,MGL,012
MGL014,"Ривка Батья, дочь~Цви","Rivka Batya, daughter~of~Tzvi",29.03.1882,sfira.ru/t/MGL014,1,MGL,014
MGL015,"Ципора, дочь~Ицхака Айзека","Tzipora, daughter~of~Itzhak Ayzek",06.01.1883,sfira.ru/t/MGL015,1,MGL,015
MGL016,"Либа, дочь~Хаима","Liba, daughter~of~Сhaim",26.03.1884,sfira.ru/t/MGL016,1,MGL,016
MGL018,"Двора Эстер, дочь~Мордехая","Dvora Esther, daughter~of~Mordechai",12.03.1887,sfira.ru/t/MGL018,1,MGL,018
MGL020,"Нехама, дочь~Зеева","Nechama, daughter~of~Zeev",22.02.1891,sfira.ru/t/MGL020,1,MGL,020
MGL027,"Рахель, дочь~Нахума Ицхака","Rachel, daughter~of~Nachum Itzhak",28.02.1855,sfira.ru/t/MGL027,1,MGL,027
MGL027a,"Сима Двося, дочь~Бенциона","Sima Dvosia, daughter~of~Bentzion",31.07.1877,sfira.ru/t/MGL027a,1,MGL,027a
MGL027b,"Ривка, дочь~Исера","Rivka, daughter~of~Iser",30.01.1880,sfira.ru/t/MGL027b,1,MGL,027b
MGL030,"Сима, дочь~Ицхака Айзека","Sima, daughter~of~Itzhak Ayzеk",05.11.1904,sfira.ru/t/MGL030,1,MGL,030
MGL031,"Витка Ройзл, дочь~Даниэля","Vitka Royzl, daughter~of~Daniel",13.01.1909,sfira.ru/t/MGL031,1,MGL,031
MGL034,"Эстер, дочь~Нахмана","Esther, daughter~of~Nachman",1894,sfira.ru/t/MGL034,1,MGL,034
MGL035,"Лея, дочь~Цви","Lea, daughter~of~Tzvi","",sfira.ru/t/MGL035,1,MGL,035
MGL036,"Церна, дочь~Хаима Элиэзера","Tzerna, daughter~of~Chayim Eliezer",30.02.1892,sfira.ru/t/MGL036,1,MGL,036
MGL037,"Эшка, дочь~Яакова Копла","Eshka, daughter~of~Yaakov Kopl",27.01.1889,sfira.ru/t/MGL037,1,MGL,037
